"日付","始値","高値","安値","終値","前日比","出来高","貸株残高","融資残高","貸借倍率","逆日歩","5DMA","25DMA","75DMA","5DVMA","25DVMA","75DVMA"
"2017/12/29","20,940.0","21,030.0","20,770.0","20,820.0","-20.0","3,475,867","137,669","158,944","1.15","-","20,960.00","20,740.80","19,178.26","2,927,646","5,569,289","6,317,875"
"2017/12/28","21,100.0","21,160.0","20,750.0","20,840.0","-230.0","4,238,365","127,963","153,929","1.20","-","20,994.00","20,724.80","19,102.93","2,879,841","5,647,190","6,334,816"
"2017/12/27","21,000.0","21,130.0","20,990.0","21,070.0","+70.0","2,848,641","136,367","140,544","1.03","-","21,010.00","20,706.40","19,022.00","3,142,581","5,747,075","6,350,669"
"2017/12/26","21,040.0","21,100.0","20,970.0","21,000.0","-70.0","2,303,834","110,127","154,723","1.40","-","21,000.00","20,671.20","18,940.26","3,310,908","5,870,447","6,362,523"
"2017/12/25","21,000.0","21,110.0","20,960.0","21,070.0","+80.0","1,771,527","121,187","149,571","1.23","-","20,992.00","20,627.20","18,858.93","3,703,538","5,990,306","6,383,676"
"2017/12/22","20,910.0","21,040.0","20,830.0","20,990.0","+70.0","3,236,841","103,155","160,154","1.55","-","20,986.00","20,590.40","18,777.06","4,750,327","6,472,902","6,428,998"
"2017/12/21","20,930.0","21,020.0","20,690.0","20,920.0","-100.0","5,552,063","94,037","177,474","1.89","-","20,866.00","20,554.00","18,698.93","5,663,923","6,701,602","6,454,479"
"2017/12/20","20,910.0","21,070.0","20,840.0","21,020.0","+60.0","3,690,275","105,305","222,916","2.12","-","20,812.00","20,497.60","18,625.60","5,433,446","6,973,578","6,420,633"
"2017/12/19","21,130.0","21,190.0","20,940.0","20,960.0","-80.0","4,266,984","131,184","157,117","1.20","-","20,764.00","20,462.40","18,550.00","5,698,713","7,108,363","6,430,400"
"2017/12/18","20,780.0","21,060.0","20,730.0","21,040.0","+650.0","7,005,473","118,973","146,468","1.23","-","20,770.00","20,429.20","18,472.40","5,764,037","7,209,212","6,433,054"
"2017/12/15","20,530.0","20,750.0","20,250.0","20,390.0","-260.0","7,804,820","128,353","199,057","1.55","-","20,778.00","20,414.80","18,390.53","5,425,033","7,464,222","6,433,075"
"2017/12/14","20,670.0","20,810.0","20,530.0","20,650.0","-130.0","4,399,680","84,475","186,064","2.20","-","20,876.00","20,440.40","18,319.06","5,320,661","8,052,979","6,375,385"
"2017/12/13","20,990.0","21,000.0","20,640.0","20,780.0","-210.0","5,016,611","89,132","164,959","1.85","-","20,808.00","20,458.80","18,244.26","5,838,653","8,219,732","6,361,786"
"2017/12/12","21,080.0","21,200.0","20,900.0","20,990.0","-90.0","4,593,601","125,870","148,212","1.18","-","20,594.00","20,475.20","18,165.60","7,048,224","8,460,204","6,339,010"
"2017/12/11","21,010.0","21,080.0","20,820.0","21,080.0","+200.0","5,310,456","132,574","146,743","1.11","-","20,502.00","20,453.20","18,085.73","7,157,367","8,560,657","6,328,738"
"2017/12/08","20,540.0","20,880.0","20,410.0","20,880.0","+570.0","7,282,958","132,921","127,511","0.96","-","20,428.00","20,426.40","18,004.00","7,281,933","8,648,461","6,304,861"
"2017/12/07","20,000.0","20,340.0","19,980.0","20,310.0","+600.0","6,989,642","77,242","208,518","2.70","-","20,434.00","20,400.80","17,924.80","8,093,713","8,788,498","6,262,634"
"2017/12/06","20,360.0","20,370.0","19,610.0","19,710.0","-820.0","11,064,463","83,129","348,956","4.20","-","20,520.00","20,367.60","17,854.66","8,253,831","8,749,197","6,251,785"
"2017/12/05","20,470.0","20,640.0","20,350.0","20,530.0","-180.0","5,139,320","129,569","153,922","1.19","-","20,682.00","20,358.40","17,797.60","7,281,579","8,575,169","6,132,465"
"2017/12/04","20,970.0","20,980.0","20,670.0","20,710.0","-200.0","5,933,285","130,247","285,987","2.20","-","20,636.00","20,317.60","17,730.13","7,526,919","8,699,044","6,097,498"
"2017/12/01","21,130.0","21,210.0","20,620.0","20,910.0","+170.0","11,341,856","197,166","233,297","1.18","-","20,552.00","20,250.40","17,661.06","7,461,508","8,668,319","6,093,051"
"2017/11/30","20,460.0","20,770.0","20,330.0","20,740.0","+220.0","7,790,234","352,774","166,683","0.47","-","20,454.00","20,174.00","17,584.66","6,277,814","8,604,521","6,038,051"
"2017/11/29","20,550.0","20,590.0","20,380.0","20,520.0","+220.0","6,203,200","385,116","195,944","0.51","-","20,382.00","20,110.40","17,514.53","6,066,864","8,545,110","5,993,318"
"2017/11/28","20,250.0","20,480.0","20,080.0","20,300.0","+10.0","6,366,021","381,333","229,484","0.60","-","20,316.00","20,047.60","17,447.33","6,012,815","8,604,804","6,028,811"
"2017/11/27","20,610.0","20,620.0","20,170.0","20,290.0","-130.0","5,606,232","407,821","249,095","0.61","-","20,236.00","19,976.40","17,388.53","5,799,668","8,562,666","5,987,836"
"2017/11/24","20,170.0","20,440.0","20,100.0","20,420.0","+40.0","5,423,385","312,614","286,537","0.92","-","20,208.00","19,906.00","17,331.33","7,445,710","8,547,462","5,946,832"
"2017/11/22","20,560.0","20,650.0","20,340.0","20,380.0","+190.0","6,735,482","393,171","225,447","0.57","-","20,140.00","19,824.80","17,270.40","8,151,902","8,490,622","5,904,882"
"2017/11/21","20,270.0","20,440.0","20,160.0","20,190.0","+290.0","5,932,955","431,883","206,377","0.48","-","19,966.00","19,743.60","17,211.20","9,275,095","8,503,564","5,865,750"
"2017/11/20","19,980.0","20,180.0","19,810.0","19,900.0","-250.0","5,300,287","355,795","221,673","0.62","-","19,956.00","19,664.40","17,156.00","9,500,484","8,490,882","5,842,311"
"2017/11/17","20,530.0","20,800.0","19,980.0","20,150.0","+70.0","13,836,442","456,132","192,369","0.42","-","20,002.00","19,590.00","17,102.40","9,798,069","8,567,486","5,806,199"
"2017/11/16","19,420.0","20,140.0","19,410.0","20,080.0","+570.0","8,954,346","429,256","306,308","0.71","-","20,108.00","19,491.20","17,044.66","9,706,926","8,180,158","5,657,663"
"2017/11/15","19,910.0","20,010.0","19,450.0","19,510.0","-630.0","12,351,446","570,826","612,385","1.07","-","20,298.00","19,390.00","16,988.26","12,420,805","7,971,488","5,600,128"
"2017/11/14","20,070.0","20,420.0","20,040.0","20,140.0","+10.0","7,059,902","657,193","217,828","0.33","-","20,618.00","19,307.60","16,941.86","11,664,216","7,630,234","5,501,563"
"2017/11/13","20,550.0","20,560.0","20,130.0","20,130.0","-550.0","6,788,212","538,825","365,932","0.68","-","20,828.00","19,192.00","16,886.66","12,457,917","7,470,842","5,455,571"
"2017/11/10","20,540.0","20,760.0","20,360.0","20,680.0","-350.0","13,380,728","681,844","273,012","0.40","-","20,890.00","19,072.80","16,829.60","12,521,261","7,341,024","5,404,599"
"2017/11/09","21,290.0","21,990.0","20,360.0","21,030.0","-80.0","22,523,741","714,231","262,693","0.37","-","20,836.00","18,931.20","16,765.33","11,346,229","7,022,500","5,302,162"
"2017/11/08","20,970.0","21,130.0","20,820.0","21,110.0","-80.0","8,568,501","565,450","307,640","0.54","-","20,678.00","18,774.80","16,699.06","8,998,256","6,382,582","5,040,457"
